ppm,kHz,-30,100,160
537.8455672,215.2135253,-42.53613281,63.12744141,-1.24609375
537.6549094,215.1372355,-66.93847656,49.89257813,-16.63671875
537.4642517,215.0609457,-50.63598633,-29.89086914,-25.0703125
537.2735939,214.9846559,-37.90698242,-72.50585938,-13.40625
537.0829361,214.9083661,-45.54321289,-0.729003906,-10.140625
536.8922784,214.8320763,-41.73999023,120.8225098,-33.6953125
536.7016206,214.7557865,-9.080566406,165.6813965,-36.5546875
536.5109628,214.6794967,21.01074219,110.4196777,39.91015625
536.3203051,214.6032069,24.61816406,41.12109375,158.0429688
536.1296473,214.5269171,29.67285156,8.281005859,201.7773438
535.9389895,214.4506273,60.32250977,-27.44140625,125.9335938
535.7483317,214.3743375,77.9440918,-85.69702148,21.125
535.557674,214.2980477,38.36572266,-104.8100586,-14.13671875
535.3670162,214.2217579,-21.41040039,-47.32373047,-3.32421875
535.1763584,214.1454681,-28.4699707,15.35620117,-25.4296875
534.9857007,214.0691783,8.661865234,3.351806641,-69.0390625
534.7950429,213.9928885,14.82250977,-45.68945313,-51.3359375
534.6043851,213.9165987,-17.35058594,-38.86254883,31.328125
534.4137274,213.8403089,-10.37426758,25.3828125,78.16015625
534.2230696,213.7640191,47.71289063,66.99975586,33.703125
534.0324118,213.6877293,45.85400391,54.83911133,-30.984375
533.8417541,213.6114395,-79.61352539,28.9387207,-35.3828125
533.6510963,213.5351497,-208.6652832,4.751708984,-6.70703125
533.4604385,213.4588599,-185.6948242,-39.12036133,-9.98828125
533.2697807,213.3825701,-48.11132813,-71.53686523,-24.80859375
533.079123,213.3062803,24.58837891,-18.75415039,15.578125
532.8884652,213.2299905,-28.93481445,103.708252,93.85546875
532.6978074,213.1537007,-82.07275391,172.5561523,115.1796875
532.5071497,213.0774109,-31.9765625,121.6086426,46.0390625
532.3164919,213.0011211,53.01782227,33.65625,-36.91015625
532.1258341,212.9248313,59.99609375,6.025634766,-54.84765625
531.9351764,212.8485415,-2.792236328,13.15942383,-15.33984375
531.7445186,212.7722517,-52.5065918,-15.52099609,30.19921875
531.5538608,212.6959619,-64.75268555,-58.97924805,55.94140625
531.3632031,212.6196721,-66.22412109,-48.67114258,58.5
531.1725453,212.5433823,-52.57763672,3.999267578,37.36328125
530.9818875,212.4670925,-12.93457031,32.27099609,11.8046875
530.7912297,212.3908027,4.666259766,31.90185547,13.0078125
530.600572,212.3145129,-42.59375,46.73828125,31.8359375
530.4099142,212.2382231,-88.2409668,60.3659668,22.9296875
530.2192564,212.1619333,-31.54638672,17.15991211,-12.08984375
530.0285987,212.0856435,86.43041992,-56.36401367,-7.9140625
529.8379409,212.0093537,105.4804688,-70.37890625,55.2578125
529.6472831,211.9330639,-24.26293945,-20.22094727,94.9453125
529.4566254,211.8567741,-153.5844727,5.077636719,46.2265625
529.2659676,211.7804843,-139.6345215,-15.98413086,-25.19921875
529.0753098,211.7041945,-40.05957031,1.454589844,-21.5703125
528.884652,211.6279047,-7.799072266,80.86279297,25.9453125
528.6939943,211.5516149,-63.60791016,115.2644043,12.09765625
528.5033365,211.4753251,-91.80371094,47.44873047,-51.68359375
528.3126787,211.3990353,-36.48828125,-9.240966797,-40.2890625
528.122021,211.3227455,18.92871094,53.15478516,74.55078125
527.9313632,211.2464557,-9.21875,148.1154785,156.5742188
527.7407054,211.1701659,-81.16113281,128.1171875,106.5195313
527.5500477,211.0938761,-102.0063477,28.7421875,9.80859375
527.3593899,211.0175863,-57.99316406,7.170166016,-3.91796875
527.1687321,210.9412965,-25.1159668,75.82104492,52.28125
526.9780744,210.8650067,-60.61425781,86.99243164,83.265625
526.7874166,210.7887169,-131.7868652,-4.662109375,78.01171875
526.5967588,210.7124271,-157.9968262,-53.4387207,86.96484375
526.406101,210.6361373,-102.0131836,37.21459961,86.75390625
526.2154433,210.5598475,-8.863769531,149.7670898,13.12109375
526.0247855,210.4835577,45.92333984,135.3654785,-86.7734375
525.8341277,210.4072679,40.06274414,35.90234375,-82.296875
525.64347,210.3309781,18.47192383,-6.036621094,38.1328125
525.4528122,210.2546883,17.66503906,29.38891602,125.7851563
525.2621544,210.1783985,10.34741211,47.66796875,79.83203125
525.0714967,210.1021087,-39.40795898,19.8996582,-20.95703125
524.8808389,210.0258189,-94.55859375,7.823730469,-58.421875
524.6901811,209.9495291,-81.34130859,22.26708984,-39.234375
524.4995234,209.8732393,-4.484619141,-3.340820313,-32.93359375
524.3088656,209.7969495,43.31518555,-75.3840332,-35.953125
524.1182078,209.7206597,9.05859375,-98.54541016,-4.55859375
523.92755,209.6443699,-48.7956543,-23.18286133,36.3203125
523.7368923,209.5680801,-56.51782227,61.86230469,28.73828125
523.5462345,209.4917903,-32.84521484,51.91821289,-7.7578125
523.3555767,209.4155005,-38.91674805,-26.27246094,-7.24609375
523.164919,209.3392107,-65.70629883,-65.18188477,20.80078125
522.9742612,209.2629209,-50.13549805,-31.37573242,5.56640625
522.7836034,209.1866311,16.67797852,8.982421875,-55.8125
522.5929457,209.1103413,77.44433594,4.504150391,-87.3515625
522.4022879,209.0340515,101.6245117,-15.45678711,-60.12890625
522.2116301,208.9577617,110.4677734,-3.641113281,-27.4453125
522.0209724,208.8814719,101.1711426,30.75732422,-17.3671875
521.8303146,208.8051821,34.95166016,44.69287109,4.21484375
521.6396568,208.7288923,-65.77514648,31.6027832,31.97265625
521.448999,208.6526025,-96.36035156,29.60839844,-4.04296875
521.2583413,208.5763127,-10.29125977,58.97167969,-101.390625
521.0676835,208.5000229,89.35205078,85.91333008,-130.7734375
520.8770257,208.4237331,82.13989258,72.88330078,-11.44140625
520.686368,208.3474433,2.329101563,42.81884766,143.7734375
520.4957102,208.2711535,-22.61547852,48.9855957,171.8828125
520.3050524,208.1948637,23.98144531,82.47802734,88.765625
520.1143947,208.1185739,28.11328125,69.39648438,46.921875
519.9237369,208.0422841,-58.2956543,-10.88769531,95.1953125
519.7330791,207.9659943,-125.6828613,-66.56274414,121.9726563
519.5424214,207.8897045,-72.62744141,-15.12036133,49.63671875
519.3517636,207.8134147,35.91845703,84.36450195,-48.91796875
